"Date","Price","Open","High","Low","Vol.","Change %"
"19-07-2024","157.77","166.00","166.09","157.20","77.99M","-5.16%"
"18-07-2024","166.36","167.61","167.61","164.44","36.57M","-0.42%"
"16-07-2024","167.07","167.80","169.82","166.70","26.51M","0.19%"
"15-07-2024","166.76","168.69","168.99","165.80","32.64M","-1.14%"
"12-07-2024","168.69","170.20","170.39","168.01","33.31M","-0.14%"
"11-07-2024","168.92","170.00","170.95","168.67","33.99M","0.56%"
"10-07-2024","167.98","172.50","172.89","167.02","41.53M","-2.22%"
"09-07-2024","171.80","173.60","173.70","171.51","25.13M","-0.28%"
"08-07-2024","172.28","174.60","175.47","172.09","31.48M","-1.39%"
"05-07-2024","174.71","176.20","176.20","173.40","38.12M","-0.90%"
"04-07-2024","176.29","177.00","178.19","175.82","29.51M","-0.05%"
"03-07-2024","176.37","174.54","176.88","174.40","29.09M","1.05%"
"02-07-2024","174.54","174.47","175.75","173.60","33.36M","0.27%"
"01-07-2024","174.07","174.50","175.99","173.51","27.81M","0.03%"
"28-06-2024","174.01","174.17","177.10","173.57","37.52M","-0.09%"
"27-06-2024","174.16","172.56","174.95","171.80","49.77M","0.93%"
"26-06-2024","172.56","175.68","176.00","171.84","44.01M","-1.78%"
"25-06-2024","175.68","177.99","179.00","175.25","30.60M","-1.28%"
"24-06-2024","177.96","177.44","178.95","175.10","47.60M","-1.10%"
"21-06-2024","179.94","179.40","180.90","178.18","65.50M","-1.28%"
"20-06-2024","182.28","181.60","182.95","179.37","38.84M","1.26%"
"19-06-2024","180.02","182.45","182.49","179.31","27.48M","-0.61%"
"18-06-2024","181.12","183.80","184.60","180.60","35.03M","-1.11%"
"14-06-2024","183.15","182.95","183.50","181.40","28.51M","0.32%"
"13-06-2024","182.56","183.40","184.10","180.51","36.67M","0.18%"
"12-06-2024","182.23","182.25","183.87","181.50","33.31M","0.50%"
"11-06-2024","181.33","180.50","183.75","180.50","55.56M","0.58%"
"10-06-2024","180.29","180.21","182.10","177.36","74.29M","0.78%"
"07-06-2024","178.90","172.00","179.65","170.80","84.32M","3.98%"
"06-06-2024","172.05","170.00","174.70","169.40","57.92M","1.68%"
"05-06-2024","169.20","162.15","169.60","159.00","60.10M","6.45%"
